"district","typ","hasc","nutscode","population","area","rb","capital"
"Leverkusen","s","DE.NW.LV","DEA24","158,984",79,"KL","Leverkusen"
"Lichtenfels","l","DE.BY.LC","DE24C","67,297",520,"OF","Lichtenfels"
"Limburg-Weilburg","l","DE.HE.LW","DE723","170,696",738,"GI","Limburg an der Lahn"
"Lindau (Bodensee)","l","DE.BY.LN","DE27A","78,422",323,"SC","Lindau (Bodensee)"
"Lippe","d","DE.NW.LP","DEA45","348,681","1,246","DM","Detmold"
"Lörrach","l","DE.BW.LR","DE139","219,003",807,"FR","Lörrach"
"Lübeck","s","DE.SH.LB","DEF03","210,305",214,"SH","Lübeck"
"Lüchow-Dannenberg","l","DE.NI.LD","DE934","49,205","1,22","LU","Lüchow (Wendland)"
"Ludwigsburg","l","DE.BW.LD","DE115","509,871",687,"ST","Ludwigsburg"
"Ludwigshafen am Rhein","s","DE.RP.LR","DEB34","157,584",78,"RP","Ludwigshafen am Rhein"
"Ludwigslust-Parchim","l","DE.MV.LP","DE80","214,37","4,75","MV","Parchim"
"Lüneburg","l","DE.NI.LN","DE935","174,123","1,323","LU","Lüneburg"
"Magdeburg","s","DE.ST.MG","DEE03","228,144",201,"MA","Magdeburg"
"Main-Kinzig-Kreis","l","DE.HE.MK","DE719","400,862","1,398","DA","Gelnhausen"
"Main-Spessart","l","DE.BY.MS","DE26A","127,508","1,321","UF","Karlstadt"
"Main-Tauber-Kreis","l","DE.BW.MT","DE11B","130,625","1,304","ST","Tauberbischofsheim"
"Main-Taunus-Kreis","l","DE.HE.MT","DE71A","224,059",229,"DA","Hofheim am Taunus"
"Mainz","s","DE.RP.MI","DEB35","200,344",98,"RP","Mainz"
"Mainz-Bingen","l","DE.RP.MB","DEB3J","200,672",606,"RP","Ingelheim am Rhein"
"Mannheim","u","DE.BW.MN","DE126","290,117",145,"KR","Mannheim"
"Mansfeld-Südharz","l","DE.ST.MS","DEE0A","147,887","1,449","HL","Sangerhausen"
"Marburg-Biedenkopf","l","DE.HE.MB","DE724","241,226","1,263","GI","Marburg"
"Märkischer Kreis","d","DE.NW.MK","DEA58","423,818","1,059","AR","Lüdenscheid"
"Märkisch-Oderland","l","DE.BB.MO","DE409","187,374","2,128","BB","Seelow"
"Mayen-Koblenz","l","DE.RP.MK","DEB17","210,308",817,"KB","Koblenz"
"Mecklenburgische Seenplatte","l","DE.MV.MS","DE80","267,806","5,468","MV","Neubrandenburg"
"Meißen","l","DE.SN.MI","DED2E","247,054","1,452","DR","Meißen"
"Memmingen","s","DE.BY.MM","DE274","41,241",70,"SC","Memmingen"
"Merzig-Wadern","l","DE.SL.MW","DEC02","103,636",555,"SL","Merzig"
"Mettmann","d","DE.NW.MT","DEA1C","477,777",407,"DU","Mettmann"
"Miesbach","l","DE.BY.ME","DE21F","93,63",864,"OB","Miesbach"
"Miltenberg","l","DE.BY.ML","DE269","128,405",716,"UF","Miltenberg"
"Minden-Lübbecke","d","DE.NW.ML","DEA46","312,169","1,152","DM","Minden"
"Mittelsachsen","l","DE.SN.MT","DED43","322,078","2,112","CH","Freiberg"
"Mönchengladbach","s","DE.NW.MG","DEA15","255,188",170,"DU","Mönchengladbach"
"Mühldorf am Inn","l","DE.BY.MI","DE21G","106,415",805,"OB","Mühldorf am Inn"
"Mülheim an der Ruhr","s","DE.NW.MR","DEA16","166,865",91,"DU","Mülheim an der Ruhr"
"München","l","DE.BY.MU","DE21H","317,249",667,"OB","München"
"München","s","DE.BY.MN","DE212","1,348,335",311,"OB","München"
"Münster","s","DE.NW.MN","DEA33","289,576",303,"MU","Münster"
"Neckar-Odenwald-Kreis","l","DE.BW.NO","DE127","142,81","1,126","KR","Mosbach"
"Neuburg-Schrobenhausen","l","DE.BY.NS","DE21I","90,593",740,"OB","Neuburg an der Donau"
"Neumarkt in der Oberpfalz","l","DE.BY.NO","DE236","126,436","1,344","OP","Neumarkt in der Oberpfalz"
"Neumünster","s","DE.SH.NU","DEF04","77,249",72,"SH","Neumünster"
"Neunkirchen","l","DE.SL.NU","DEC03","135,531",249,"SL","Ottweiler"
"Neustadt an der Aisch-Bad Windsheim","l","DE.BY.NA","DE25A","97,475","1,267","MF","Neustadt an der Aisch"
"Neustadt an der Waldnaab","l","DE.BY.NW","DE237","96,317","1,43","OP","Neustadt an der Waldnaab"
"Neustadt an der Weinstraße","s","DE.RP.NW","DEB36","52,164",117,"RP","Neustadt an der Weinstraße"
"Neu-Ulm","l","DE.BY.NU","DE279","163,854",516,"SC","Neu-Ulm"
"Neuwied","l","DE.RP.NU","DEB18","180,672",627,"KB","Neuwied"
"Nienburg/Weser","l","DE.NI.NE","DE927","122,242","1,399","HN","Nienburg/Weser"
"Nordfriesland","d","DE.SH.NR","DEF07","163,665","2,047","SH","Husum"
"Nordhausen","l","DE.TH.NR","DEG07","87,21",711,"TH","Nordhausen"
"Nordsachsen","l","DE.SN.NR","DED53","201,165","2,02","LE","Torgau"
"Nordwestmecklenburg","l","DE.MV.NR","DE80","156,634","2,117","MV","Wismar"
"Northeim","l","DE.NI.NR","DE918","137,446","1,267","BR","Northeim"
"Nürnberg","s","DE.BY.NR","DE254","486,314",186,"MF","Nürnberg"
"Nürnberger Land","l","DE.BY.NL","DE259","163,967",800,"MF","Lauf an der Pegnitz"
"Oberallgäu","l","DE.BY.OE","DE27E","148,649","1,528","SC","Sonthofen"
"Oberbergischer Kreis","d","DE.NW.OK","DEA2A","273,011",919,"KL","Gummersbach"
"Oberhausen","s","DE.NW.OE","DEA17","210,215",77,"DU","Oberhausen"
